id,source,url,headline,abstract,img_url,publish_time
x_tweets|2103466758221058257,x_tweets,https://x.com/garrytan/status/2103466758221058257,"RT @sarthakgh: “Just because it came from a scientist, it doesn’t make it scientific….Don’t think that just because you are an alarmist, yo…",,,2026-09-25 20:48:50
verge_news|dmcyOnF1aWNrUG9zdDoxMDAwNjAy,verge_news,https://www.theverge.com/tech/1000602/photoshop-and-lightroom-tools-are-now-in-gemini,Photoshop and Lightroom tools are now in Gemini.,,,2026-09-25 20:47:07
wscn_news|3782546,wscn_news,https://wallstreetcn.com/articles/3782546,还没破百万日活，Meta Muse就频频掉链子：服务降级、Agent失败，算力瓶颈浮出水面,Meta旗下AI智能体Muse日活11天增长10倍至约70万，但服务问题已开始显现：实际资源消耗约为内部测试的10倍，SaaSHub将其标记为“服务降级”，一次压力测试中120个子Agent仅成功33个。Muse采用独立虚拟机架构，用户增长将持续推高CPU、内存和存储需求，算力扩容压力正在浮现。,https://wpimg-wscn.awtmt.com/13a2376e-0593-4d72-aed0-1e83a0a3c6ac.png,2026-09-25 20:00:20
wscn_news|3782543,wscn_news,https://wallstreetcn.com/articles/3782543,扎克伯格谈Muse：个人Agent必须从预训练开始设计，虚拟机、记忆和权限系统是巨头的全栈护城河,扎克伯格称，Muse从预训练开始围绕个人Agent设计，通过云端虚拟机、记忆、凭据存储和逐项授权，让Agent持续替用户执行长期任务。他强调技术扩散与权力制衡，主张让更多人用上强大AI，并称Meta正以更精简核心团队和更大算力重建模型研发。,https://wpimg-wscn.awtmt.com/fad50efe-e9f5-4ae6-887e-e152188ca79b.png,2026-09-25 19:42:19
wscn_news|3782541,wscn_news,https://wallstreetcn.com/articles/3782541,AI资本开支冲向1.7万亿美元，回报要达到什么水平才算合理？高盛算了一笔账,美国超大规模云服务商AI资本支出急升，引发投资回报争议。高盛研究框架指出，Alphabet、微软等六大巨头需在2028至2030年间累计创收约1.42万亿美元，方可满足2026至2027年AI算力投入15%的ROIC门槛。目前三大公有云积压订单已超1.69万亿美元，为未来变现与长期盈利提供了有力支撑。,https://wpimg-wscn.awtmt.com/25c6ea18-dc01-40bd-8709-310954761407.png,2026-09-25 19:30:34
qbitai_news|497108,qbitai_news,https://www.qbitai.com/2026/09/497108.html,亮出“中国最强AI芯片”还不够，平头哥又甩出一手开源,大厂造芯，正在从交付芯片，走向更广泛的开放共建阶段。,https://www.qbitai.com/wp-content/uploads/2026/09/c39a29eeab5e59a8d95c3b4acfbd85af.jpeg,2026-09-25 18:00:14
wscn_news|3782539,wscn_news,https://wallstreetcn.com/articles/3782539,为了把更多HBM塞进芯片，英伟达加速布局下一代玻璃基板,德国设备厂商SCHMID披露，正与英特尔、英伟达、AMD各自供应链的核心企业合作，研发玻璃基板生产设备。玻璃基板有望替代硅中介层，提升封装密度和数据传输能力，集成更多HBM。但TGV金属化工艺仍存障碍，终端客户认证尚未完成，大规模商业化仍需时日。,https://wpimg-wscn.awtmt.com/aeda9ea2-3cff-4d05-a83a-fdd482819cc6.png,2026-09-25 17:56:26
kr36_news|3998623185703048,kr36_news,https://36kr.com/p/3998623185703048,平均翻倍！卖不动钻石，却越涨越猛,熟悉的叙事配方。,https://img.36krcdn.com/hsossms/20260925/v2_250b34bb1e214ab88054a89ea01af6bb@000000@ai_oswg904252oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-09-25 17:49:06
wscn_news|3782542,wscn_news,https://wallstreetcn.com/articles/3782542,刚刚，GPT-6开真车考过了科目二！,三个湾区年轻人搭起DrivingBench，把通用大模型塞进真车。GPT-6 Astra第二把以5分22秒开进锥桶车位，成唯一过关者，Sol、Grok、Fable全栽在看不懂锥桶上。Astra没专门学过开车，靠通用脑子通关，或意味自动驾驶数据护城河被抽干。,https://wpimg-wscn.awtmt.com/e40b5202-3fb5-4cca-a18c-0c789a9e2e08.jpeg,2026-09-25 17:47:48
kr36_news|3998565950330503,kr36_news,https://36kr.com/p/3998565950330503,阿莫迪偷师姚顺雨，奥特曼偷师梁文锋,正所谓天下文章一大抄，看你会抄不会抄。,"https://img.36krcdn.com/hsossms/20260925/v2_e762b89ca8144ee29fbacbd47c9e68e6@000000_oswg51562oswg940oswg399_img_000?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",2026-09-25 17:18:07
tmtpost_news|8152653,tmtpost_news,https://www.tmtpost.com/8152653.html,起底AI网恋：4700个AI围猎2.5万人，10元造完美情人,新技术落地最早的地方，一定是离钱最近的地方。,https://images.tmtpost.com/uploads/images/2026/09/20260925171118865.png,2026-09-25 17:13:30
