id,source,url,headline,abstract,img_url,publish_time
pingwest_news|313580,pingwest_news,https://www.pingwest.com/a/313580,本周AI项目推荐 ：Slock，Float，Buda…当Agent成为社会活动主体,Agent 的身份、权限、调度、记忆、责任边界，都会成为新一轮产品竞争点。,https://cdn.pingwest.com/portal/2026/05/10/7xepPeFj4K8sFbXG44M87mJx8JJ6S83R.png,2026-05-10 21:32:31
x_tweets|2053463241435553904,x_tweets,https://x.com/garrytan/status/2053463241435553904,"RT @SenecaSpeaks21: In Oakland, “Farallon Capital” became shorthand for corruption, greed, coal money, and billionaire influence the moment…",,,2026-05-10 21:12:42
x_tweets|2053457151016710267,x_tweets,https://x.com/steipete/status/2053457151016710267,RT @reach_vb: codex https://t.co/mJJ6gCsQAr,,https://pbs.twimg.com/media/HH4OQ59XgAM-aOt.jpg,2026-05-10 20:48:30
x_tweets|2053456429420265662,x_tweets,https://x.com/steipete/status/2053456429420265662,"Slop one-shot websites, 2025 vs 2026. https://t.co/b4adLHslEU https://t.co/chkPrbTRb7",,https://pbs.twimg.com/media/HH9RDEEWoAAMGHK.jpg,2026-05-10 20:45:38
x_tweets|2053444780089119191,x_tweets,https://x.com/steipete/status/2053444780089119191,"Built BlackBar, a menubar for @useblacksmith https://t.co/LAAyHy8aDQ https://t.co/jo5QNnpZgF",,https://pbs.twimg.com/media/HH85NcKXcAQYrHF.jpg,2026-05-10 19:59:21
wscn_news|3771926,wscn_news,https://wallstreetcn.com/articles/3771926,趋势、抱团与疯狂——A股“抓主线”投资方法论,"国投证券策略研报系统阐述A股抓主线方法论，提出宏观叙事、产业趋势、增量资金、风格切换四大工具，强调专注一至两个、切忌杂糅。增量资金视角下""凡是趋势皆为抱团""，超额收益、估值分化、增量资金依次见顶是卖出信号。风格切换需交易信号与逻辑信号交叉验证。",https://wpimg-wscn.awtmt.com/d0bb3d62-6453-4d76-ae47-13586ae07e65.png,2026-05-10 19:45:29
x_tweets|2053440149778751718,x_tweets,https://x.com/steipete/status/2053440149778751718,Slaps. https://t.co/LAAyHy8aDQ,,,2026-05-10 19:40:57
tmtpost_news|7982777,tmtpost_news,https://www.tmtpost.com/7982777.html,“马嘉祺”终于被大模型“稳稳接住”了,前有ChatGPT“稳稳接住你”，后有MiniMax不认识“马嘉祺”。,https://images.tmtpost.com/uploads/images/2026/05/20260510165404919.png,2026-05-10 19:14:24
x_tweets|2053430662082728171,x_tweets,https://x.com/steipete/status/2053430662082728171,😅,,,2026-05-10 19:03:15
x_tweets|2053420530737267190,x_tweets,https://x.com/steipete/status/2053420530737267190,We should start a polymarket for when it finishes. https://t.co/en8ujZ7KH1 https://t.co/yXbxgbCWiU,,https://pbs.twimg.com/media/HH827OWW4AUMwuM.png,2026-05-10 18:22:59
x_tweets|2053420175379046643,x_tweets,https://x.com/steipete/status/2053420175379046643,We now have video proof generation for issues on OpenClaw as part of working on QA automation. Codex [or a GH workflow] generates before/afters (crabbox does the screen recording). Kudos to @obviyus for automating real Telegram login! https://t.co/sgjXPe5xMt https://t.co/mu5hjNFkVO,,https://pbs.twimg.com/media/HH82mZmXEAANaaq.jpg,2026-05-10 18:21:35
wscn_news|3771924,wscn_news,https://wallstreetcn.com/articles/3771924,芯片股狂潮，还在加速,半导体板块近六周市值暴增约3.8万亿美元，AI算力需求从GPU蔓延至内存芯片、传统CPU，推动全品类芯片进入景气周期。杠杆ETF SOXL累计涨逾1200%，散户蜂拥入场。与互联网泡沫不同，此轮行情有强劲盈利支撑，美光市盈率仅8.9倍。,https://wpimg-wscn.awtmt.com/c336d5da-bb18-451f-ad76-de1bd181c27c.png,2026-05-10 18:08:54
x_tweets|2053408637226295591,x_tweets,https://x.com/steipete/status/2053408637226295591,RT @cjayls: Using https://t.co/b3oUmyCVrV by @steipete in @opencode to drive a remote iOS simulator in my browser.. sensational work https…,,,2026-05-10 17:35:44
