id,source,url,headline,abstract,img_url,publish_time
pingwest_news|313754,pingwest_news,https://www.pingwest.com/a/313754,Images 2.0进入“文艺复兴”时刻：周活15亿张，下一步是创作型智能体,上线两周，使用量涨了50%以上。,https://cdn.pingwest.com/portal/2026/05/15/jNtRXfkYBT8kE8Bd7dZ56zik5Bzxi8h6.png,2026-05-15 22:25:23
x_tweets|2055288369958289536,x_tweets,https://x.com/nikunj/status/2055288369958289536,You are missing out on reading essays from the better writer in our family.. https://t.co/XeyIMhooSY https://t.co/uqQ6XzVnja,,https://pbs.twimg.com/media/HIXZ4TzakAE-HIl.jpg,2026-05-15 22:05:07
x_tweets|2055286599517340077,x_tweets,https://x.com/garrytan/status/2055286599517340077,"When you hear Connie Chan and public sector unions alleging needing ""not enough info"" just think CIA Sabotage Field Manual because it's literally in there They hate housing, they hate government effectiveness, and especially software and technology. It's in their nature. https://t.co/pSDiCUvPee",,https://pbs.twimg.com/media/HIXYGFubYAE-AF9.png,2026-05-15 21:58:05
x_tweets|2055286597516689500,x_tweets,https://x.com/garrytan/status/2055286597516689500,"OpenGov is bringing transparency and streamlining to San Francisco permits, one of the most notoriously disastrous bureaucracies in the world Of course Connie Chan and her public sector union paymasters are sniffing around: they're NIMBYs who don't want this to be streamlined. https://t.co/0W2rvsDjmy",,https://pbs.twimg.com/media/HIXXex7bUAAmmKz.jpg,2026-05-15 21:58:04
wscn_news|3772386,wscn_news,https://wallstreetcn.com/articles/3772386,美债技术性破位，日债抛售恐慌，全球利率风暴正在形成,当前股票市场的行为方式仍像是利率并未实质性收紧，这一危险背离一旦被利率叙事打破，可能引发快速且剧烈的仓位重估。,https://wpimg-wscn.awtmt.com/e3e2690c-0017-4111-88cc-f65ffef28278.jpeg,2026-05-15 21:46:35
wscn_news|3772385,wscn_news,https://wallstreetcn.com/articles/3772385,中际旭创：高端光模块产品的订单和出货在持续增加，公司供应链稳定,对于公司产能利用率和扩产情况，管理层在投资者问答环节回应称，公司目前产能利用率充足，产能也在持续扩建中。对于公司800G/1.6T光模块当前海外客户出货及订单情况，管理层指出，公司高端光模块产品的订单和出货在持续增加。公司将持续优化产品结构，毛利率有望稳中有升。,https://wpimg-wscn.awtmt.com/cde3a6bf-8d80-4c2e-bcca-fd447a584162.png,2026-05-15 21:31:06
x_tweets|2055278852931530784,x_tweets,https://x.com/rauchg/status/2055278852931530784,"If you become exceptional at managing agents, but are also exceptional in your understanding of the fundamentals, you will be unstoppable. We all prefer to work with masters of their craft. What’s new: you can’t afford to miss out on the amplification agents have on your output",,,2026-05-15 21:27:18
x_tweets|2055278474550726909,x_tweets,https://x.com/garrytan/status/2055278474550726909,"This isn't left vs right. Do you believe people are fundamentally capable and just need tools? Or fundamentally helpless and need management? AI is the biggest test of that question we've ever run. I know my answer, and am building open source accordingly.",,,2026-05-15 21:25:48
x_tweets|2055278472189345830,x_tweets,https://x.com/garrytan/status/2055278472189345830,"Every intermediary thinks they're essential (yes even me). VCs, unions, regulators, nonprofits all claim to serve the people they sit between. AI make all of them less necessary for admin and coordination. That's not an attack on workers. AI automates and reduces the role of these intermediaries and the winners are the people being mediated. I think about this every day as we steward YC.",,,2026-05-15 21:25:47
wscn_news|3772377,wscn_news,https://wallstreetcn.com/articles/3772377,闪迪、美光越涨越便宜？股价暴涨数倍，但华尔街只给9倍PE,闪迪今年以来股价累计上涨482%，美光涨幅达172%，预期市盈率均不足9倍。过去12个月，闪迪2027年调整后每股收益预期上调幅度接近2000%，美光则达768%。,https://wpimg-wscn.awtmt.com/40f374dd-3413-4baa-84b3-b65e22f59eb2.png,2026-05-15 21:19:51
x_tweets|2055275384720298148,x_tweets,https://x.com/rauchg/status/2055275384720298148,"Excited to be donating again to Hack Club. Hack Clubs are in-person & online spaces for the next generation of inventors. Hack Clubbers inspire me with their ships and technical writeups, even eventually joining Vercel. Parents and community leaders: if your high school is not Hack Club-maxxxing, you’re missing out! https://t.co/u10VL9dNw9",,,2026-05-15 21:13:31
x_tweets|2055275264590959078,x_tweets,https://x.com/steipete/status/2055275264590959078,QA and perf testing is paying off.,,,2026-05-15 21:13:02
x_tweets|2055272645407514925,x_tweets,https://x.com/danshipper/status/2055272645407514925,"RT @tedescau: “If you’re a curious person, this is the best time in the world to learn anything.”",,,2026-05-15 21:02:38
verge_news|dmcyOnF1aWNrUG9zdDo5MzExNjE=,verge_news,https://www.theverge.com/ai-artificial-intelligence/931161/researchers-used-mythos-to-crack-macos,Researchers used Mythos to crack macOS.,,,2026-05-15 20:58:32
